firm_id int, firm_name varchar(100), firm_url varchar(300), site_status int, ceo_name varchar(50), settling_day date, exective_name1 varchar(50), exective_name2 varchar(50), exective_name3 varchar(50), exective_name4 varchar(50), exective_name5 varchar(50), exective_name6 varchar(50), exective_name7 varchar(50), exective_name8 varchar(50), exective_name9 varchar(50), exective_name10 varchar(50), exective_name11 varchar(50), exective_name12 varchar(50), exective_name13 varchar(50), exective_name14 varchar(50), exective_name15 varchar(50), ir_url varchar(300), ceo_face_pic_url varchar(300), done int
1391,ＵＢＳ　ＥＴＦ　スイス株（ＭＳＣＩスイス２０／３５）,,,,,,,,,,,,,,,,,,,,,,1
1392,ＵＢＳ　ＥＴＦ　英国株（ＭＳＣＩ英国）,,,,,,,,,,,,,,,,,,,,,,1
1393,ＵＢＳ　ＥＴＦ　米国株（ＭＳＣＩ米国）,,,,,,,,,,,,,,,,,,,,,,1
1394,ＵＢＳ　ＥＴＦ　先進国株（ＭＳＣＩワールド）,,,,,,,,,,,,,,,,,,,,,,1
1397,ＳＭＡＭ　日経２２５上場投信,,,,,,,,,,,,,,,,,,,,,,1
1398,ＳＭＡＭ　東証ＲＥＩＴ指数上場投信,,,,,,,,,,,,,,,,,,,,,,1
1399,上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ,,,,,,,,,,,,,,,,,,,,,,1
1400,ルーデン・ホールディングス,,,,,,,,,,,,,,,,,,,,,,1
1401,エムビーエス,,,,,,,,,,,,,,,,,,,,,,1
1407,ウエストホールディングス,,,,,,,,,,,,,,,,,,,,,,1
1413,ヒノキヤグループ,,,,,,,,,,,,,,,,,,,,,,1
1414,ショーボンドホールディングス,,,,,,,,,,,,,,,,,,,,,,1
1417,ミライト・ホールディングス,,,,,,,,,,,,,,,,,,,,,,1
1418,インターライフホールディングス,,,,,,,,,,,,,,,,,,,,,,1
1419,タマホーム,,,,,,,,,,,,,,,,,,,,,,1
1420,サンヨーホームズ,,,,,,,,,,,,,,,,,,,,,,1
1429,日本アクア,,,,,,,,,,,,,,,,,,,,,,1
1430,ファーストコーポレーション,,,,,,,,,,,,,,,,,,,,,,1
1431,Ｌｉｂ　Ｗｏｒｋ,,,,,,,,,,,,,,,,,,,,,,1
1432,動力,,,,,,,,,,,,,,,,,,,,,,1
1433,ベステラ,,,,,,,,,,,,,,,,,,,,,,1
1434,ＪＥＳＣＯホールディングス,,,,,,,,,,,,,,,,,,,,,,1
1435,ＴＡＴＥＲＵ,,,,,,,,,,,,,,,,,,,,,,1
1436,フィット,,,,,,,,,,,,,,,,,,,,,,1
1439,安江工務店,,,,,,,,,,,,,,,,,,,,,,1
1440,やまぜんホームズ,,,,,,,,,,,,,,,,,,,,,,1
1443,技研ホールディングス,,,,,,,,,,,,,,,,,,,,,,1
1444,ニッソウ,,,,,,,,,,,,,,,,,,,,,,1
1445,ひかりホールディングス,,,,,,,,,,,,,,,,,,,,,,1
1446,キャンディル,,,,,,,,,,,,,,,,,,,,,,1
1447,ＩＴｂｏｏｋホールディングス,,,,,,,,,,,,,,,,,,,,,,1
1448,スペースバリューホールディングス,,,,,,,,,,,,,,,,,,,,,,1
1450,田中建設工業,,,,,,,,,,,,,,,,,,,,,,1
1451,ＫＨＣ,,,,,,,,,,,,,,,,,,,,,,1
